"523FILIZCHAY-BH70-(0-255)1-out	Tool 772",,,,,,,,,,,,,,,,,,,,,,,,,
Station,Dip,Azimuth,GHS,GTF,DLS,Easting,Northing,Elevation,UpDown,LeftRight,Shortfall,GravField,Drift check,Accumulated roll,Accumulated roll (rev),Roll to station,Roll to station (rev),Time to station,Temperature,Battery,Station acc.,Station rate,Station Quality,Max. rate,Motion Quality
m,deg,deg,deg,deg,deg / 30 m,m,m,m,m,m,m,g,,deg,revolutions,deg,revolutions,s,C,V,g,deg /s,%,deg /s,%
0,-61.5048,156,192.3752,192.3752,0,612242,4631865,1169.5762,0,0,0,0.9959,Yes,4.3706,0.0121,2.1317,0.0059,29.7779,19.7872,8.3091,0.0013,0.0005,100,0.2294,100
3,-61.7233,155.9514,190.3037,190.2436,2.1975,612242.5807,4631863.697,1166.9369,-0.0057,-0.0006,1.4262,0.9955,Yes,2.2389,0.0062,0.7638,0.0021,30.6299,19.8627,8.3161,0.001,0.0004,100,0.142,100
6,-61.9411,156.0031,189.5303,189.4798,2.1916,612243.1572,4631862.404,1164.2922,-0.0229,-0.0012,2.8424,0.9957,Yes,1.4751,0.0041,3.2727,0.0091,30.7937,19.953,8.3232,0.0012,0.0004,100,0.1716,100
9,-61.8927,155.9998,186.238,186.2071,0.4841,612243.7316,4631861.114,1161.6454,-0.0444,-0.0011,4.2546,0.9953,Yes,-1.7976,-0.005,-4.412,-0.0123,30.4661,20.0494,8.3285,0.001,0.0003,100,0.1933,100
12,-61.8464,156.3224,190.3012,190.6191,1.59,612244.3032,4631859.82,1158.9998,-0.0636,0.0029,5.6691,0.9955,Yes,2.6145,0.0073,-1.1205,-0.0031,29.5731,20.1549,8.3362,0.0009,0.0003,100,0.2245,100
15,-61.862,156.4523,191.3066,191.7396,0.6325,612244.8701,4631858.523,1156.3545,-0.0819,0.0124,7.0842,0.9955,Yes,3.735,0.0104,0.572,0.0016,30.3104,20.2455,8.3433,0.0009,0.0003,100,0.103,100
18,-61.9444,156.5596,190.6582,191.1677,0.9667,612245.4333,4631857.228,1153.7081,-0.1028,0.0249,8.4971,0.9953,Yes,3.163,0.0088,0.0163,0,30.0319,20.3421,8.3488,0.0009,0.0003,100,0.1589,100
21,-62.0411,156.3775,190.7915,191.1514,1.2908,612245.9958,4631855.936,1151.0594,-0.1283,0.0364,9.9058,0.9955,Yes,3.1467,0.0087,-0.0036,0,29.4584,20.4581,8.356,0.001,0.0003,100,0.1701,100
24,-62.1486,156.4406,190.6899,191.155,1.1155,612246.5577,4631854.649,1148.4082,-0.1592,0.0464,11.3098,0.9953,Yes,3.1503,0.0088,1.0421,0.0029,29.5895,20.5896,8.3636,0.0009,0.0003,100,0.2212,100
27,-62.1914,156.3843,189.6953,190.1129,0.5023,612247.1181,4631853.366,1145.7552,-0.1941,0.0565,12.7104,0.9954,Yes,2.1082,0.0059,-0.8027,-0.0022,30.3596,20.7284,8.3681,0.0016,0.0004,100,0.3013,100
30,-62.3455,156.3706,190.4545,190.9156,1.5418,612247.6775,4631852.087,1143.0998,-0.234,0.0657,14.1063,0.9954,Yes,2.911,0.0081,-0.0406,-0.0001,29.6387,20.8444,8.3759,0.001,0.0003,100,0.2126,100
33,-62.4376,156.2611,190.5902,190.9562,1.0517,612248.2359,4631850.814,1140.4414,-0.2805,0.0734,15.4966,0.9955,Yes,2.9515,0.0082,0.079,0.0002,31.7604,20.9381,8.3833,0.001,0.0003,100,0.2053,100
36,-62.5649,156.0973,190.6221,190.8772,1.4805,612248.7954,4631849.546,1137.7804,-0.3326,0.0777,16.8818,0.9954,Yes,2.8725,0.008,0.9594,0.0027,29.6714,21.0085,8.3894,0.001,0.001,100,0.1623,100
39,-62.7611,155.9269,189.8325,189.9178,2.1127,612249.3555,4631848.288,1135.1154,-0.3933,0.078,18.2595,0.9953,Yes,1.9131,0.0053,-0.0571,-0.0002,29.8271,21.0508,8.3967,0.0012,0.0003,100,0.2331,100
42,-62.9639,155.8053,189.9588,189.9749,2.1027,612249.9149,4631847.039,1132.4457,-0.4644,0.0748,19.6278,0.9952,Yes,1.9702,0.0055,0.6004,0.0017,31.5556,21.0756,8.4035,0.001,0.0003,100,0.177,100
45,-63.1597,155.7494,189.4304,189.3745,1.9741,612250.4725,4631845.799,1129.7712,-0.546,0.0696,20.9869,0.995,Yes,1.3698,0.0038,0.1306,0.0004,29.27,21.0648,8.4099,0.001,0.0003,100,0.3715,100
48,-63.4111,155.5008,189.5385,189.2439,2.7515,612251.0291,4631844.571,1127.0914,-0.6392,0.0607,22.3354,0.9951,Yes,1.2392,0.0034,1.2392,0.0034,29.4339,21.0304,8.4169,0.0009,0.0003,100,0.3453,100
51,-63.5241,155.596,225.5168,225.5168,0,612251.583,4631843.352,1124.407,0,0,0,0.9952,Yes,3.6219,0.0101,-0.5278,-0.0015,29.1062,19.6433,7.9475,0.001,0.0003,100,0.1766,100
