"523 filizchay - BH - 466-90-(0-243)-out	Tool 772",,,,,,,,,,,,,,,,,,,,,,,,,
Station,Dip,Azimuth,GHS,GTF,DLS,Easting,Northing,Elevation,UpDown,LeftRight,Shortfall,GravField,Drift check,Accumulated roll,Accumulated roll (rev),Roll to station,Roll to station (rev),Time to station,Temperature,Battery,Station acc.,Station rate,Station Quality,Max. rate,Motion Quality
m,deg,deg,deg,deg,deg / 30 m,m,m,m,m,m,m,g,,deg,revolutions,deg,revolutions,s,C,V,g,deg /s,%,deg /s,%
0,-71.3507,90,198.4897,198.4897,0,620696.4185,4631589.194,1378.8818,0,0,0,0.9987,Yes,5.8374,0.0162,3.51,0.0098,29.5322,14.5234,7.6394,0.0017,0.0019,100,0.2214,100
3,-71.4336,89.7097,195.3081,194.9797,1.2429,620697.3758,4631589.196,1376.0386,-0.0022,-0.0024,0.9573,0.9983,No,2.3274,0.0065,-1.2535,-0.0035,27.8938,14.581,7.6399,0.0012,0.0011,100,0.3227,100
6,-71.5984,89.708,196.5635,196.2332,1.6478,620698.3269,4631589.201,1373.1934,-0.0108,-0.0073,1.9084,0.9984,No,3.5809,0.0099,2.615,0.0073,27.8774,14.5099,7.6407,0.0011,0.0011,100,0.2458,100
9,-71.6155,89.635,194.0646,193.6182,0.2873,620699.2735,4631589.207,1370.3467,-0.0243,-0.0127,2.855,0.9984,Yes,0.9659,0.0027,-0.925,-0.0026,27.5661,14.4385,7.6429,0.0009,0.0003,100,0.2148,100
12,-71.6341,89.8619,194.8019,194.5432,0.7389,620700.2192,4631589.211,1367.4996,-0.0386,-0.0168,3.8007,0.9984,Yes,1.8909,0.0053,-0.4688,-0.0013,28.0003,14.3628,7.6456,0.001,0.0004,100,0.3766,100
15,-71.7397,89.9514,195.1542,195.012,1.0927,620701.1618,4631589.212,1364.6516,-0.0562,-0.0184,4.7433,0.9985,Yes,2.3597,0.0066,-0.7558,-0.0021,28.9178,14.2818,7.647,0.0009,0.0006,100,0.2899,100
18,-71.7849,90.3444,195.5871,195.7678,1.3101,620702.1007,4631589.21,1361.8023,-0.0778,-0.016,5.6822,0.9988,Yes,3.1155,0.0087,-0.6851,-0.0019,30.6709,14.1954,7.6495,0.0009,0.0007,100,0.3101,100
21,-71.7903,90.3487,196.2288,196.4529,0.0554,620703.0383,4631589.204,1358.9525,-0.1007,-0.0103,6.6198,0.9988,Yes,3.8006,0.0106,-0.7939,-0.0022,28.0003,14.11,7.6506,0.0009,0.0005,100,0.1625,100
24,-71.8027,90.4057,197.0624,197.2468,0.2168,620703.9754,4631589.198,1356.1027,-0.1241,-0.0041,7.5569,0.9986,Yes,4.5945,0.0128,1.8245,0.0051,28.3607,14.0287,7.6512,0.0009,0.0003,100,0.138,100
27,-71.8926,90.3946,195.1747,195.4224,0.9002,620704.91,4631589.192,1353.252,-0.1501,0.0024,8.4915,0.9984,Yes,2.7701,0.0077,-1.9356,-0.0054,27.82,13.9493,7.6534,0.0009,0.0003,100,0.2512,100
30,-71.9582,90.4345,197.0177,197.358,0.6677,620705.8408,4631589.185,1350.4,-0.1802,0.0092,9.4223,0.9986,Yes,4.7057,0.0131,-1.0861,-0.003,27.7709,13.8765,7.655,0.0009,0.0003,100,0.2693,100
33,-72.0739,90.3688,198.2233,198.4441,1.1748,620706.767,4631589.178,1347.5466,-0.2151,0.0157,10.3485,0.9986,Yes,5.7917,0.0161,1.3943,0.0039,27.5907,13.8167,7.6567,0.0009,0.0003,100,0.3101,100
36,-72.1504,90.1566,197.0367,197.0498,1.0048,620707.6884,4631589.174,1344.6916,-0.2549,0.0199,11.27,0.9986,Yes,4.3975,0.0122,-0.438,-0.0012,27.5661,13.7684,7.6584,0.0009,0.0003,100,0.4546,100
39,-72.22,90.0774,197.4688,197.4878,0.7367,620708.6063,4631589.172,1341.8355,-0.2986,0.0218,12.1878,0.9984,Yes,4.8354,0.0134,1.1337,0.0031,27.6152,13.7493,7.6599,0.0009,0.0003,100,0.2331,100
42,-72.2441,90.2276,196.3149,196.354,0.5182,620709.5218,4631589.17,1338.9786,-0.3448,0.0242,13.1033,0.9988,Yes,3.7017,0.0103,-0.0296,-0.0001,27.9101,13.7465,7.6607,0.0009,0.0003,100,0.2707,100
45,-72.3394,89.9483,196.4918,196.3836,1.2762,620710.4343,4631589.168,1336.1207,-0.3941,0.0256,14.0158,0.999,Yes,3.7313,0.0104,0.6895,0.0019,27.9511,13.7631,7.6612,0.0009,0.0003,100,0.3292,100
48,-72.3232,89.8243,195.9965,195.6941,0.4096,620711.3448,4631589.17,1333.2622,-0.4454,0.0238,14.9263,0.999,Yes,3.0418,0.0084,0.2722,0.0008,27.5989,13.7898,7.6629,0.0009,0.0003,100,0.1113,100
51,-72.3918,89.644,195.8802,195.4219,0.8769,620712.254,4631589.174,1330.4033,-0.4981,0.0196,15.8355,0.9987,Yes,2.7696,0.0077,0.0911,0.0003,27.6726,13.8167,7.6661,0.0009,0.0003,100,0.3125,100
